Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.39870887477,7885.15892730063,9765.90920740626,11392.2691499861,12306.7176791493,13495.79430054,14045.4745656146,14938.6815734932,16239.9878515928,16439.3563609282,16583.8758560136,17927.9594391833,19077.6874273513,19355.3335357274,20617.7504673528,20670.3670051627,20436.8871286309,20833.976357295,22568.3749910043,23300.7383630907,24046.2263769373,25834.1117784233,27083.6348596914,24631.1820522439,23513.527696809,24985.0139185797,24712.4932628907,26441.6199357378,26893.0115056581,28396.9084228616,28452.1706146796,29350.8050189137,30253.2793580195,,,
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662,66.074,66.444,66.787,67.113,67.435,67.762,68.095,68.436,68.784,69.14,69.498,69.851,70.191,70.519,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.573,73.598,73.622,73.646,73.671,73.7,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293,,
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.7160525263364,43.1669350691766,43.6039902540244,44.0256167023782,44.4327209668265,44.8269185053447,45.2130477077738,45.5942941174189,45.9740588428679,46.3523988952427,46.7287965127791,47.1028663204687,47.4711684318316,47.8294031049271,48.1749986572569,48.5033109025954,48.8108365311431,49.0978495787067,49.3663275658959,49.6199971960873,49.8706925374772,50.11588583507,50.3634564074708,50.6103849128502,50.8483347763205,51.0580570906536,51.2142808516956,51.2997808475578,51.3085954769909,51.2517631065044,51.154113100187,51.0484138261888,50.9572621198378,50.8902461024847,50.8418649636072,50.8084844038107,50.7961569715184,50.8206135660064,50.8976071774296,51.0441913292055,51.2761288844047,51.6064582838941,52.0431492826438,52.5858533977139,53.2289134701853,53.96655013393,54.7917066462486,55.6823435005197,56.6097989195142,57.5487718622889,58.4706966763051,59.3535949230704,60.1855610471991,60.9533629561754,61.6473665890637,62.2592883749181,62.7876814850688,63.2462635340566,63.648988039777,64.0051974732229,,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,147.612227356658,147.014903980571,156.189191718689,182.243917033772,162.347592147618,180.214907841495,190.845483562135,192.337166562156,204.007099368282,227.908615119165,236.793424648275,254.006969067464,268.131326739248,339.759795964428,410.118239816733,424.803180517585,411.513619258493,456.254185174561,496.090590819875,564.002951169701,688.555399290773,685.205277946091,641.783869594962,643.803760127544,571.447121239101,495.66462896974,542.428123553241,643.801620251485,657.347249119682,657.186356415773,696.98814539625,704.427088459081,683.336134465999,706.488038736633,702.415965784792,771.410097098471,747.841550124969,765.967485354054,703.091356249091,675.804263446166,713.245921054769,633.608788994641,631.870339558401,819.743981457504,993.762711096436,1129.80871033245,1237.11180175654,1382.86903874723,1442.16815788071,1412.11128439583,1634.44825309864,1770.73623014017,1736.16655986305,1713.89929866184,1703.59629838885,1549.03794037642,1431.7787234042,1573.06338581001,1574.97864775317,1530.05917655094,1359.61822418526,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.446,32.962,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486,48.211,48.93,49.64,50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7732337032148,59.8608999923829,58.4580086983139,78.7064287776753,82.0953065340517,101.108325163758,137.594297961115,160.898434161304,129.108310965006,129.329760364199,156.518771348706,159.567508996258,135.317227981591,143.144649500081,173.653624742026,186.510838346447,197.445507551145,224.225001566116,247.354087806417,275.738115377232,272.655510200686,264.111197144336,,,,,,,,,,,,,,,,,,,,,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.932233293366,113.081646612926,118.831106706209,123.442887950613,131.854401909578,138.526332388544,144.326212453632,128.582470199789,129.641106185266,143.715631573582,195.433564888654,169.119100472264,200.168407134048,241.711430329646,333.192493397619,377.788046952202,444.374421151956,454.790166433819,482.477486200178,584.373990532901,718.691848126908,1316.93170404015,1136.46243630013,815.900740280563,656.712783360308,651.510094102516,584.907219262827,584.119205546599,561.36145852303,510.419105485422,594.72600919977,558.435680915393,547.663092908291,445.656206211034,378.940492935927,462.864808608456,523.763526573847,515.234581172978,513.64255070099,528.577393652426,525.450342923443,539.335724366342,627.773944464993,706.955063040869,854.506836384316,1016.47597797202,1252.59514686795,1430.79640012068,1707.27226359303,1486.57265423522,1687.5519789005,1862.30826705039,1965.11848480873,2157.48114862974,2212.85313466307,1894.3101949536,1673.83552685464,1613.47355303429,1704.1396025899,1777.91867152634,1710.07336335627,
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.2053802888777,37.6325458107287,38.0526124460236,38.4637462992862,38.8670727302204,39.264841022967,39.6627616818468,40.0664076306498,40.4828320446893,40.9142150205219,41.3651166262866,41.8372135384403,42.327042722952,42.8290770572674,43.3392192743596,43.8550419702597,44.373966114244,44.8922264707661,45.4026805804062,45.8974752841206,46.3661037063484,46.7982921877146,47.1886175651087,47.5339854517934,47.8305364853668,48.0793808980202,48.2845808464756,48.4541278305564,48.5974209842621,48.719230807331,48.8169994009146,48.8859342755717,48.9234160699463,48.9337077497748,48.9255053499213,48.9099367837817,48.8998752881811,48.9091299499562,48.9553390213338,49.0526389223187,49.2197138106225,49.4751356037932,49.8169286273063,50.2394323653305,50.7334166512703,51.2834866628333,51.8682025707247,52.4639575630919,53.0495003986077,53.6120895132647,54.1443067090058,54.6499981291251,55.1389443224205,55.6189864082126,56.0882690441146,56.5420091409512,56.9747611509084,57.382362702625,57.7623467867763,58.1157227231324,,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,711.40957856021,642.768196831557,620.333123364606,623.815362351581,638.099006801712,758.745063152158,685.728127726666,756.767926189975,792.833017228347,891.149280264381,948.338177965671,,,,251.078348367302,398.79099821209,522.679624255226,514.385174425759,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.494441791273,982.96100777685,1255.56451325546,1902.42214975937,2599.56594793067,3121.99608528081,4080.94103372417,3122.7815987074,3587.88364462837,4615.46821863819,5100.09702685927,5254.88112606683,5408.41170002082,4166.97983330278,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1776.16686789531,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178,40.546,40.914,41.282,41.65,42.016,42.374,42.721,43.053,43.367,43.66,43.931,44.178,44.404,44.611,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763,46.093,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147,,
